Lat,Long,DO,pH,Turbidity (NTU),Conductivity (mS/l),Secchi,Temperature
-0.279472,100.1574722,5.21,7.83,1.04,0.126,1.5,27.8
-0.279889,100.1584722,5.49,8.07,2.7,0.127,1.47,27.7
-0.279638889,100.1588056,5.64,8.11,3.38,0.125,1.3,27.8
-0.652666667,100.1602778,5.66,7.78,2.86,0.126,,27.8
-0.277472222,100.161,5.23,8.03,2.95,0.126,1.46,27.9
-0.273333333,100.1628889,5.1,8.04,3.94,0.126,1.345,28
-0.286305556,100.1613333,6.12,8.13,2.94,0.128,1.4,28.1
-0.272194444,100.16775,6.05,8.13,3.29,0.126,,28.1
-0.270444444,100.1657222,5.28,8.1,5.95,0.123,0.64,28.5
-0.290888889,100.1632778,5.54,7.98,3.66,0.126,1.17,28.2
-0.167361111,100.1688333,4.85,7.94,3.53,0.123,1.4,28.5
-0.263083,100.1705833,5,8.04,2.87,0.124,1.43,28.6
-0.254916667,100.1862778,6.1,8.1,3.42,0.125,,
-0.259166667,100.1896389,5.49,8.13,7.99,0.124,0.53,28.8
-0.259055556,100.2003333,6.99,8.21,3.16,0.127,,28.6
-0.262805556,100.209,6.69,8.21,2.72,0.128,1.69,28.5
-0.174166667,100.2134722,7.42,8.31,2.81,0.126,1.39,28.8
-0.293916667,100.2256944,6.77,8.51,2.52,0.127,1.465,29
-0.301472222,100.2236667,7.23,8.52,3.18,0.129,1.35,29.1
-0.31125,100.2250833,7.78,8.56,2.96,0.126,1.45,29
-0.31125,100.2254722,7.33,8.6,2.36,0.127,1.465,29.4
-0.319555556,100.2240833,7.4,8.67,3.35,0.127,1.35,28.8
-0.326027778,100.2240833,5.58,8.43,2.25,0.127,2.25,31.6
-0.333194444,100.21775,4.88,8.16,1.76,0.125,1.76,28.1
-0.284722222,100.1595833,4.48,8.17,2.14,0.128,1.67,28
-0.284805556,100.1558333,4.6,8.12,1.07,0.125,0.33,29.3
-0.299833333,100.1643333,5.72,8.22,2.06,0.127,2.06,29.9
-0.308555556,100.1659444,5.51,8.34,1.45,0.126,0.82,30.4
-0.322333333,100.1665278,5.63,8.35,1.83,0.127,1.725,30.2
-0.331722222,100.1651667,6.13,8.42,1.4,0.126,1.75  (substrat besar2),29.1
-0.3445,100.1651944,6.96,8.48,1.93,0.127,1.375,31.3
-0.351361111,100.1797222,7.27,8.57,2.78,0.128,0.52,31.5
-0.355694444,100.1833611,7.67,8.6,2.91,0.128,0.27 (dasar),29.5
-0.359666667,100.1745556,6.58,8.58,2.57,0.127,1.265,29.4
-0.379555556,100.1693611,6.03,8.59,3.52,0.127,0.7 (dasar),30.7
